logL_restricted_M1,logL_restricted_M2,logL_unrestricted_M1,logL_unrestricted_M2,uhat_restricted_M1,uhat_restricted_M2,uhat_unrestricted_M1,uhat_unrestricted_M2
1572.3650037285247,1704.0865239238472,1604.056358610236,1706.7812945848,-0.00964816979491772,0.019981926300847164,0.015752630602647363,0.02830491607741914
1572.2221198766995,1704.9472251960246,1603.9365829626995,1707.0301925615963,-0.02463213801992872,-0.033513247943375735,-0.026237863289183695,-0.03101664747125099
1572.183316185669,1708.7865008906645,1603.9431180039778,1710.9274144073954,-0.010819196583054469,-0.008172104138900682,-0.013738675783940009,-0.011871207656539262
1572.2680800750047,1705.5981183526326,1604.1783427101423,1707.560754988979,-0.0008712748390032766,-0.005741501657353876,-0.0037394987526957694,-0.005197591532818624
1574.7584285684297,1709.0245211502915,1606.9519645244673,1711.0119668480907,0.0366165952817438,0.03929620940781264,0.037029870690870666,0.04013938629371516
1574.1441161489915,1708.1411480196634,1606.3063718881322,1709.8800280989797,0.05267885356478886,0.04765345814052191,0.054568528964681416,0.05437312910200509
1573.346505392077,1707.3642245121828,1605.437621854181,1708.7332057155004,0.06285029570387923,0.062432831102334774,0.06480653179668924,0.06924510779872017
1572.6060250275646,1705.662074993894,1604.6779151806415,1707.0801068224584,0.059069567752462415,0.05522383538935438,0.06005801274447382,0.06328931586931219
1572.58033050697,1705.2609450869504,1604.5031637453856,1706.1544710437413,0.05313001621021503,0.053503072300784105,0.053860148674449604,0.060161089489374264
1571.9077765628922,1703.9328954029797,1603.6187644988279,1704.1569896468122,0.0719150788529281,0.08276184163772893,0.07293785028989447,0.08941321202559638
1571.1766962611641,1705.2997502542642,1602.8499812362554,1705.2997502542642,0.05773233411211848,0.06578440694223175,0.05841464983308392,0.06578440694223175
1571.4282928346615,1702.4532376568784,1603.0706564766247,1702.4532376568784,0.04257498983574094,0.05380136199866392,0.04317444139037677,0.05380136199866392
1573.0318961998228,1707.9988207144106,1604.8189456030043,1707.9988207144106,0.037880596819300304,0.046789892749783624,0.038511249548538073,0.046789892749783624
1573.9645835304736,1705.704282068019,1606.053404430624,1705.704282068019,0.03175564891822094,0.03802846466472065,0.03238944548797585,0.03802846466472065
1576.3424334386443,1709.3350311979025,1608.553633103829,1709.3350311979025,0.025475289518672294,0.030041434042796578,0.026121201451414347,0.030041434042796578
1576.1484235809523,1708.274710943786,1608.3430888080704,1708.274710943786,0.029908272958891764,0.032406924519160496,0.030508727577091454,0.032406924519160496
1576.8201894219346,1708.848220388857,1608.9116762237634,1708.848220388857,0.03522773325726192,0.03903879821608447,0.03605774687732019,0.03903879821608447
1576.6598200188441,1708.7681099424237,1608.8481053379942,1708.7681099424237,0.03377065011327751,0.02420603851509351,0.03339535475475347,0.02420603851509351
1576.5142075151718,1708.862313045755,1608.8481416796978,1708.862313045755,0.028479253527036615,0.011421854937309073,0.024064596216031034,0.011421854937309073
1576.3087274069017,1708.9535731468327,1608.779418428493,1708.9535731468327,0.03438398321895696,0.006290958406216296,0.020482440800592135,0.006290958406216296
1576.085837524423,1708.8274711879815,1608.7715019143197,1708.8274711879815,0.03127310702811488,-0.003381650168606587,0.009187099227811189,-0.003381650168606587
1576.3604133181213,1708.6965899412662,1608.9586449147341,1708.6965899412662,0.0184642232405742,-0.018892184541752455,-0.006972672461032503,-0.018892184541752455
1576.8056929662691,1709.55403204117,1609.3734974950926,1709.55403204117,0.029575352034642524,-0.011660737216685035,0.0034180992331179043,-0.011660737216685035
1576.3902049572205,1714.1634790220644,1609.0646974959031,1714.1634790220644,0.04173598020902932,0.002788029992666363,0.01735684727474083,0.002788029992666363
1576.3496902520471,1711.3600758264652,1609.1260154407428,1711.3600758264652,0.033752662342791215,-0.015322760409332448,0.0006902269092439982,-0.015322760409332448
1578.7763609885958,1717.4762910104591,1612.0831935470137,1717.4762910104591,0.02908392294221225,-0.007793827208854021,0.003856985206477398,-0.007793827208854021
1578.650125942497,1716.9028677880654,1612.0785217975329,1716.9028677880654,0.026790265390268374,-0.0022688482076176353,0.007599859973455183,-0.0022688482076176353
1579.3145722506824,1721.4041021460569,1612.846051577018,1721.4041021460569,0.02130962928168491,-0.0010713662589263429,0.006598680573848806,-0.0010713662589263429
1579.3583021433974,1720.602787735033,1612.8888337468936,1720.602787735033,0.014130329801741075,0.013066378227756914,0.01335873447923924,0.013066378227756914
1580.6063636655965,1724.3674547312824,1614.288971317892,1724.3674547312824,0.011211147937196436,0.02110663892503095,0.01999014272147634,0.02110663892503095
1580.4818371933943,1725.4001698942936,1614.1436595275215,1725.4001698942936,0.023470273099847522,0.00151881789416497,0.013517368796097592,0.00151881789416497
1580.6810842143213,1725.222037812351,1614.3327507917438,1725.222037812351,0.026813863239717635,0.03038012646059296,0.029236099104269896,0.03038012646059296
1581.2468925421522,1725.5359717884605,1614.7063983772941,1725.5359717884605,0.022091589524286033,0.02508399348378787,0.02574577368667012,0.02508399348378787
1581.2018444871082,1725.5230175271095,1614.7097564796009,1725.5230175271095,0.019495039240528013,0.012696113764518069,0.018660411819148282,0.012696113764518069
1581.3087161373335,1725.6937440847023,1614.7945966464729,1725.6937440847023,0.011897477610842026,0.0038025964925405553,0.008896595147498444,0.0038025964925405553
1581.455494718357,1726.784782703392,1614.9919713256147,1726.784782703392,0.0101097156270243,-0.0024043286803481223,0.0033239895670491336,-0.0024043286803481223
1581.4710377445817,1724.9896084725206,1615.0121351869125,1724.9896084725206,0.006418238626506225,-0.01767311099635238,-0.007950411620377537,-0.01767311099635238
