"Uge";"Aldersgruppe";"Vaccinationsstatus";"Bekræftede tilfælde";"sort_Var";"Befolkningstørrelse";"Bekræftede tilfælde pr. 100.000"
2021-U02;40-64;2. stik;0;2;2;0,00
2021-U02;40-64;3. stik;0;3;0;0,00
2021-U02;65-79;Uvaccinerede;535;0;868663;61,59
2021-U02;65-79;1. stik;120;1;18723;640,92
2021-U02;65-79;2. stik;0;2;0;0,00
2021-U02;65-79;3. stik;0;3;0;0,00
2021-U02;80+;Uvaccinerede;243;0;235644;103,12
2021-U02;80+;1. stik;282;1;23995;1175,24
2021-U02;80+;2. stik;0;2;0;0,00
2021-U02;80+;3. stik;0;3;0;0,00
2021-U03;5-11;Uvaccinerede;308;0;436557;70,55
2021-U03;5-11;1. stik;0;1;1;0,00
2021-U03;5-11;2. stik;0;2;0;0,00
2021-U03;5-11;3. stik;0;3;0;0,00
2021-U03;12-15;Uvaccinerede;203;0;299021;67,89
2021-U03;12-15;1. stik;0;1;4;0,00
2021-U03;12-15;2. stik;0;2;0;0,00
2021-U03;12-15;3. stik;0;3;0;0,00
2021-U03;16-19;Uvaccinerede;225;0;278906;80,67
2021-U03;16-19;1. stik;0;1;697;0,00
2021-U03;16-19;2. stik;0;2;0;0,00
2021-U03;16-19;3. stik;0;3;0;0,00
2021-U03;20-39;Uvaccinerede;1535;0;1465468;104,74
2021-U03;20-39;1. stik;98;1;30101;325,57
2021-U03;20-39;2. stik;0;2;3;0,00
2021-U03;20-39;3. stik;0;3;0;0,00
2021-U03;40-64;Uvaccinerede;1733;0;1836862;94,35
2021-U03;40-64;1. stik;207;1;70358;294,21
2021-U03;40-64;2. stik;0;2;4;0,00
2021-U03;40-64;3. stik;0;3;0;0,00
2021-U03;65-79;Uvaccinerede;430;0;859899;50,01
2021-U03;65-79;1. stik;81;1;27487;294,68
2021-U03;65-79;2. stik;0;2;0;0,00
2021-U03;65-79;3. stik;0;3;0;0,00
2021-U03;80+;Uvaccinerede;202;0;226102;89,34
2021-U03;80+;1. stik;133;1;33537;396,58
2021-U03;80+;2. stik;0;2;1;0,00
2021-U03;80+;3. stik;0;3;0;0,00
2021-U04;5-11;Uvaccinerede;247;0;436557;56,58
2021-U04;5-11;1. stik;0;1;1;0,00
2021-U04;5-11;2. stik;0;2;0;0,00
2021-U04;5-11;3. stik;0;3;0;0,00
2021-U04;12-15;Uvaccinerede;165;0;299019;55,18
2021-U04;12-15;1. stik;0;1;5;0,00
2021-U04;12-15;2. stik;0;2;0;0,00
2021-U04;12-15;3. stik;0;3;0;0,00
2021-U04;16-19;Uvaccinerede;171;0;278861;61,32
2021-U04;16-19;1. stik;0;1;743;0,00
2021-U04;16-19;2. stik;0;2;1;0,00
2021-U04;16-19;3. stik;0;3;0;0,00
2021-U04;20-39;Uvaccinerede;1037;0;1464502;70,81
2021-U04;20-39;1. stik;42;1;31047;135,28
2021-U04;20-39;2. stik;0;2;23;0,00
2021-U04;20-39;3. stik;0;3;0;0,00
2021-U04;40-64;Uvaccinerede;1181;0;1834729;64,37
2021-U04;40-64;1. stik;90;1;72444;124,23
2021-U04;40-64;2. stik;0;2;51;0,00
2021-U04;40-64;3. stik;0;3;0;0,00
2021-U04;65-79;Uvaccinerede;313;0;858859;36,44
2021-U04;65-79;1. stik;36;1;28512;126,26
2021-U04;65-79;2. stik;0;2;16;0,00
2021-U04;65-79;3. stik;0;3;0;0,00
2021-U04;80+;Uvaccinerede;122;0;225048;54,21
2021-U04;80+;1. stik;82;1;34571;237,19
2021-U04;80+;2. stik;0;2;21;0,00
2021-U04;80+;3. stik;0;3;0;0,00
2021-U05;5-11;Uvaccinerede;203;0;436557;46,50
2021-U05;5-11;1. stik;0;1;1;0,00
