"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"sort_Var";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2021-U06;65-79;2. stik;1;2;7356;13,59
2021-U06;80+;Uvaccinerede;26;0;214495;12,12
2021-U06;80+;1. stik;10;1;34768;28,76
2021-U06;80+;2. stik;1;2;10376;9,64
2021-U07;5-11;Uvaccinerede;2;0;436557;0,46
2021-U07;12-15;Uvaccinerede;1;0;299015;0,33
2021-U07;16-19;Uvaccinerede;1;0;278354;0,36
2021-U07;16-19;1. stik;0;1;782;0,00
2021-U07;16-19;2. stik;0;2;469;0,00
2021-U07;20-39;Uvaccinerede;20;0;1451658;1,38
2021-U07;20-39;1. stik;0;1;24804;0,00
2021-U07;20-39;2. stik;0;2;19111;0,00
2021-U07;40-64;Uvaccinerede;63;0;1809891;3,48
2021-U07;40-64;1. stik;0;1;48061;0,00
2021-U07;40-64;2. stik;0;2;49272;0,00
2021-U07;65-79;Uvaccinerede;36;0;851527;4,23
2021-U07;65-79;1. stik;4;1;18744;21,34
2021-U07;65-79;2. stik;2;2;17116;11,68
2021-U07;80+;Uvaccinerede;35;0;183239;19,10
2021-U07;80+;1. stik;7;1;54027;12,96
2021-U07;80+;2. stik;2;2;22374;8,94
2021-U08;5-11;Uvaccinerede;1;0;436557;0,23
2021-U08;12-15;Uvaccinerede;1;0;299011;0,33
2021-U08;16-19;Uvaccinerede;3;0;277852;1,08
2021-U08;16-19;1. stik;0;1;1114;0,00
2021-U08;16-19;2. stik;0;2;639;0,00
2021-U08;20-39;Uvaccinerede;35;0;1438055;2,43
2021-U08;20-39;1. stik;0;1;31264;0,00
2021-U08;20-39;2. stik;0;2;26252;0,00
2021-U08;40-64;Uvaccinerede;77;0;1780853;4,32
2021-U08;40-64;1. stik;3;1;62209;4,82
2021-U08;40-64;2. stik;3;2;64163;4,68
2021-U08;65-79;Uvaccinerede;42;0;838999;5,01
2021-U08;65-79;1. stik;4;1;23420;17,08
2021-U08;65-79;2. stik;0;2;24967;0,00
2021-U08;80+;Uvaccinerede;18;0;148099;12,15
2021-U08;80+;1. stik;12;1;79930;15,01
2021-U08;80+;2. stik;1;2;31610;3,16
2021-U09;5-11;Uvaccinerede;2;0;436557;0,46
2021-U09;12-15;Uvaccinerede;1;0;298985;0,33
2021-U09;12-15;1. stik;0;1;37;0,00
2021-U09;16-19;Uvaccinerede;3;0;277042;1,08
2021-U09;16-19;1. stik;1;1;1850;54,05
2021-U09;16-19;2. stik;0;2;712;0,00
2021-U09;20-39;Uvaccinerede;38;0;1417502;2,68
2021-U09;20-39;1. stik;0;1;48491;0,00
2021-U09;20-39;2. stik;0;2;29578;0,00
2021-U09;40-64;Uvaccinerede;79;0;1734252;4,56
2021-U09;40-64;1. stik;3;1;102991;2,91
2021-U09;40-64;2. stik;1;2;69981;1,43
2021-U09;65-79;Uvaccinerede;49;0;810472;6,05
2021-U09;65-79;1. stik;8;1;49474;16,17
2021-U09;65-79;2. stik;1;2;27441;3,64
2021-U09;80+;Uvaccinerede;21;0;133950;15,68
2021-U09;80+;1. stik;13;1;92349;14,08
2021-U09;80+;2. stik;2;2;33340;6,00
2021-U10;12-15;Uvaccinerede;1;0;298965;0,33
2021-U10;12-15;1. stik;0;1;57;0,00
2021-U10;16-19;Uvaccinerede;2;0;276344;0,72
2021-U10;16-19;1. stik;0;1;2490;0,00
2021-U10;16-19;2. stik;0;2;770;0,00
2021-U10;20-39;Uvaccinerede;32;0;1398900;2,29
2021-U10;20-39;1. stik;0;1;65871;0,00
2021-U10;20-39;2. stik;1;2;30801;3,25
2021-U10;40-64;Uvaccinerede;76;0;1699216;4,47
2021-U10;40-64;1. stik;8;1;135422;5,91
2021-U10;40-64;2. stik;1;2;72585;1,38
2021-U10;65-79;Uvaccinerede;47;0;790200;5,95
2021-U10;65-79;1. stik;10;1;67993;14,71
2021-U10;65-79;2. stik;0;2;29192;0,00
2021-U10;80+;Uvaccinerede;15;0;124324;12,07
2021-U10;80+;1. stik;6;1;100648;5,96
2021-U10;80+;2. stik;2;2;34667;5,77
2021-U11;5-11;Uvaccinerede;1;0;436557;0,23
2021-U11;12-15;Uvaccinerede;1;0;298952;0,33
2021-U11;12-15;1. stik;0;1;67;0,00
2021-U11;16-19;Uvaccinerede;3;0;276081;1,09
2021-U11;16-19;1. stik;0;1;2685;0,00
2021-U11;16-19;2. stik;0;2;838;0,00
2021-U11;20-39;Uvaccinerede;20;0;1393448;1,44
2021-U11;20-39;1. stik;1;1;70018;1,43
2021-U11;20-39;2. stik;0;2;32105;0,00
2021-U11;40-64;Uvaccinerede;89;0;1687415;5,27
2021-U11;40-64;1. stik;9;1;144399;6,23
2021-U11;40-64;2. stik;0;2;75407;0,00
2021-U11;65-79;Uvaccinerede;45;0;779805;5,77
2021-U11;65-79;1. stik;6;1;76553;7,84
2021-U11;65-79;2. stik;1;2;31022;3,22
2021-U11;80+;Uvaccinerede;19;0;111063;17,11
2021-U11;80+;1. stik;6;1;108465;5,53
2021-U11;80+;2. stik;2;2;40109;4,99
2021-U12;16-19;Uvaccinerede;3;0;275813;1,09
2021-U12;16-19;1. stik;0;1;2892;0,00
2021-U12;16-19;2. stik;0;2;898;0,00
2021-U12;20-39;Uvaccinerede;50;0;1389341;3,60
2021-U12;20-39;1. stik;0;1;72683;0,00
2021-U12;20-39;2. stik;2;2;33545;5,96
2021-U12;40-64;Uvaccinerede;107;0;1677966;6,38
2021-U12;40-64;1. stik;2;1;150410;1,33
2021-U12;40-64;2. stik;2;2;78841;2,54
2021-U12;65-79;Uvaccinerede;56;0;769520;7,28
2021-U12;65-79;1. stik;9;1;83369;10,80
2021-U12;65-79;2. stik;0;2;34487;0,00
2021-U12;80+;Uvaccinerede;8;0;87542;9,14
2021-U12;80+;1. stik;4;1;101253;3,95
2021-U12;80+;2. stik;5;2;70837;7,06
2021-U13;5-11;Uvaccinerede;2;0;436557;0,46
2021-U13;12-15;Uvaccinerede;1;0;298946;0,33
2021-U13;12-15;1. stik;0;1;70;0,00
2021-U13;16-19;Uvaccinerede;1;0;275600;0,36
2021-U13;16-19;1. stik;0;1;2958;0,00
2021-U13;16-19;2. stik;0;2;1046;0,00
2021-U13;20-39;Uvaccinerede;46;0;1385999;3,32
2021-U13;20-39;1. stik;0;1;73436;0,00
2021-U13;20-39;2. stik;0;2;36134;0,00
2021-U13;40-64;Uvaccinerede;108;0;1667871;6,48
2021-U13;40-64;1. stik;3;1;152606;1,97
2021-U13;40-64;2. stik;0;2;86737;0,00
2021-U13;65-79;Uvaccinerede;56;0;739846;7,57
2021-U13;65-79;1. stik;8;1;101054;7,92
2021-U13;65-79;2. stik;2;2;46477;4,30
2021-U13;80+;Uvaccinerede;15;0;53924;27,82
2021-U13;80+;1. stik;9;1;99220;9,07
2021-U13;80+;2. stik;1;2;106488;0,94
2021-U14;5-11;Uvaccinerede;1;0;436556;0,23
2021-U14;16-19;Uvaccinerede;5;0;275399;1,82
2021-U14;16-19;1. stik;0;1;2895;0,00
2021-U14;16-19;2. stik;0;2;1310;0,00
2021-U14;20-39;Uvaccinerede;47;0;1383337;3,40
2021-U14;20-39;1. stik;1;1;72331;1,38
2021-U14;20-39;2. stik;2;2;39900;5,01
2021-U14;40-64;Uvaccinerede;99;0;1660374;5,96
2021-U14;40-64;1. stik;1;1;147171;0,68
2021-U14;40-64;2. stik;1;2;99667;1,00
2021-U14;65-79;Uvaccinerede;47;0;684007;6,87
2021-U14;65-79;1. stik;6;1;134882;4,45
2021-U14;65-79;2. stik;1;2;68485;1,46
2021-U14;80+;Uvaccinerede;9;0;34040;26,44
2021-U14;80+;1. stik;6;1;105147;5,71
2021-U14;80+;2. stik;2;2;120444;1,66
2021-U15;5-11;Uvaccinerede;2;0;436556;0,46
2021-U15;16-19;Uvaccinerede;3;0;275197;1,09
2021-U15;16-19;1. stik;0;1;2843;0,00
2021-U15;16-19;2. stik;0;2;1565;0,00
2021-U15;20-39;Uvaccinerede;50;0;1380574;3,62
2021-U15;20-39;1. stik;1;1;71698;1,39
2021-U15;20-39;2. stik;0;2;43296;0,00
2021-U15;40-64;Uvaccinerede;100;0;1653740;6,05
