logL_restricted_M1,logL_restricted_M2,logL_unrestricted_M1,logL_unrestricted_M2,uhat_restricted_M1,uhat_restricted_M2,uhat_unrestricted_M1,uhat_unrestricted_M2
1466.9221963024374,1582.3417271275866,1490.931859344294,1589.8692598431953,-0.0004806202081557437,0.0020110339467791505,0.002908450810748253,0.0045495103955897065
1467.0019917791724,1583.551197997338,1491.0185523189616,1590.4011520513084,0.006702292895213556,0.012137709551250708,0.01286824017937271,0.015699315699252203
1467.048942508678,1587.2188716903397,1491.041386090895,1594.1526722434908,0.013868367301663966,0.013321562001957332,0.017881737958616792,0.016917733392514123
1467.2841077538185,1584.1598103133865,1491.2763522066393,1590.8332532970414,0.013096627214036373,0.009121375576287782,0.01434916395292232,0.011562182683927169
1469.4356001725964,1587.9171412008277,1494.011531716842,1594.6817011756907,0.016508742420073823,0.011947701074221051,0.01609397993163865,0.013307160595583234
1469.363307269775,1587.6250370688101,1493.8944148675914,1594.29211778338,0.026132079483423363,0.023878714832137327,0.028768510529292475,0.027371521920364295
1469.2597186904832,1587.9224727279254,1493.7721027649097,1594.4640269201982,0.03332119834352719,0.025394214734750342,0.034823873604461784,0.029355023242579215
1469.2590409455095,1587.0698157128434,1493.6816950503992,1593.9759688859651,0.027729308560103364,0.01649548326570205,0.027569542165474116,0.01950311958827644
1471.82178324885,1586.971550123457,1493.2023693258843,1593.4798095216995,0.04610208923370984,0.04422530060833196,0.050386139803207684,0.048662434834111146
1471.9385627714178,1587.7143456787483,1493.1553593166752,1593.794042965404,0.04100844516911678,0.026881772284301775,0.04294354949741209,0.034031349831375124
1471.6117919859084,1590.0052724450009,1492.8402734664419,1595.785857927665,0.0383113688659674,0.03534019501303387,0.040549691799413194,0.04091752664501502
1472.1814431762207,1587.9704806209656,1493.3163489481742,1593.3481229515028,0.02667306228152584,0.024473555030822602,0.029164673127930623,0.032877420643561805
1474.0865761151842,1593.868339824619,1495.2546387408474,1599.7761768271498,0.02273165983848754,0.02219774664551366,0.024670166734995627,0.027502540075442283
1475.0534918894505,1591.9242880356041,1496.538240628845,1597.6389788865113,0.024858978672367325,0.021386397045699113,0.026084962413328992,0.026011479158515538
1477.3220915930392,1595.3344420961223,1498.8014575645252,1601.355764256723,0.03533741140746672,0.03409680232263668,0.03706607699974451,0.039433312276277555
1476.6941938134946,1593.8848017323821,1498.1057605427163,1599.6319032788244,0.05240808615207661,0.04741472845904493,0.05403203039411848,0.05453801990789309
1476.7432143264978,1594.1768907587884,1497.9546326652649,1599.5852484923096,0.06366223354184466,0.051098125289266605,0.0643587742786262,0.05869503677590693
1475.8429335643455,1593.4117528033732,1497.1000118074417,1598.5154659488824,0.06577336253932137,0.0512789299176486,0.06611754874354331,0.05907979048489809
1475.2653136547394,1593.159108429028,1496.583996738013,1597.9604885169203,0.052011848035018474,0.0378354201654556,0.05224503057966108,0.04568310300804912
